Model;HP LaserJet 4050
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;принтер
Тип;лазерный/светодиодный
Технология печати;лазерная
Печать фотографий;-
Копир;-
Сканер;-
Область применения;средний офис
Цветность печати;черно-белая
Макс. формат;A4
Число страниц в месяц;65 000
Caption;Принтер
Двусторонняя печать;-
SubCaption;Макс. разрешение для ч/б печати
По X;1 200
По Y;1 200
EndSubCaption;Макс. разрешение для ч/б печати
SubCaption;Скорость ч/б печати
A4;16 стр/мин
EndSubCaption;Скорость ч/б печати
Прямая печать;-
Caption;Расходные материалы
SubCaption;Печать на:
Пленках;+
Этикетках;+
Фотобумаге;-
EndSubCaption;Печать на:
Ресурс ч/б картриджа/тонера;10 000 стр
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;+
EndSubCaption;Языки управления
Caption;Лотки
SubCaption;Подача бумаги
Стандартная;600 листов
EndSubCaption;Подача бумаги
SubCaption;Вывод бумаги
Стандартный;300 листов
EndSubCaption;Вывод бумаги
Caption;Интерфейсы
USB;-
Ethernet (RJ-45);-
LPT;+
Инфракрасный порт;+
Caption;Память/Процессор
Объем памяти;8 Мб
Макс. объем памяти;192 Мб
Caption;Дополнительная информация
Мин. системные требования;Intel Pentium + 64 Mb RAM
SubCaption;Поддержка ОС
Windows;+
Linux;-
Mac OS;-
DOS;+
EndSubCaption;Поддержка ОС
SubCaption;Уровень шума
При работе;54 дБ
EndSubCaption;Уровень шума
Caption;Габариты
Ширина;390 мм
Высота;343 мм
Глубина;493 мм
Вес;18 кг
Caption;Фото
main_image;hp_image/HPLaserJet4050_1580718798298.jpg
image;hp_image/HPLaserJet4050_1580718798621.jpg
