Model;OKI MICROLINE 3310
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;принтер
Тип;матричный
Технология печати;матричная
Печать фотографий;-
Телефон;-
Размещение;настольный
Макс. формат;A4
Caption;Сканер
Отправка изображения по e-mail;-
Стандарт TWAIN;-
Стандарт WIA;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Финишер
Сортер;-
Электронная сортировка;-
Сортировка со сдвигом;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
Ethernet (RJ-45);-
FireWire (IEEE 1394);-
Wi-Fi;-
Wi-Fi 802.11n;-
Bluetooth;-
LPT;+
AirPrint;-
Инфракрасный порт;-
Caption;Дополнительная информация
Работа от аккумулятора;-
Caption;Габариты
Ширина;398 мм
Высота;116 мм
Глубина;345 мм
Вес;7.3 кг
Caption;Фото
main_image;oki_image/OKIMICROLINE3310_1580752894583.jpg
image;oki_image/OKIMICROLINE3310_1580752895197.jpg
