Model;Epson TM-T70
Status;Снят с производства
Caption;Общие характеристики
Тип устройства;принтер
Тип;термопринтер
Технология печати;термопечать
Копир;-
Сканер;-
Факс;-
Телефон;-
Цветность печати;черно-белая
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;-
Система непрерывной подачи чернил;-
Caption;Расходные материалы
SubCaption;Печать на:
Рулоне;+
EndSubCaption;Печать на:
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
PDF;-
EndSubCaption;Языки управления
Caption;Финишер
Сортер;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;+
FireWire (IEEE 1394);-
Bluetooth;-
LPT;+
Инфракрасный порт;-
RS-232;+
Устройство для чтения карт памяти;-
Caption;Дополнительная информация
Работа от аккумулятора;-
SubCaption;Поддержка ОС
DOS;-
EndSubCaption;Поддержка ОС
Caption;Габариты
Ширина;125 мм
Высота;114 мм
Глубина;194 мм
Вес;1.8 кг
Caption;Фото
main_image;epson_image/EpsonTM-T70_1580650305090.jpg
image;epson_image/EpsonTM-T70_1580650305471.jpg
image;epson_image/EpsonTM-T70_1580650305828.jpg
image;epson_image/EpsonTM-T70_1580650306187.jpg
