Model;Epson LabelWorks LW-400
Status;Актуальный
Caption;Общие характеристики
Тип устройства;принтер
Тип;термопринтер
Технология печати;термопечать
Копир;-
Сканер;-
Факс;-
Телефон;-
Размещение;портативный
Цветность печати;черно-белая
Caption;Принтер
Пигментные чернила;-
Двусторонняя печать;-
Система непрерывной подачи чернил;-
Caption;Расходные материалы
SubCaption;Печать на:
Этикетках;+
EndSubCaption;Печать на:
Caption;Факс
Цветной;-
Caption;Телефон
Проводная трубка;-
Беспроводная трубка;-
АОН;-
Caller ID;-
Автоответчик;-
Стандарт DECT;-
Спикерфон;-
Caption;Шрифты и языки управления
SubCaption;Языки управления
PostScript;-
PostScript 2;-
PostScript 3;-
PCL 5c;-
PCL 5e;-
PCL 6;-
PPDS;-
PDF;-
EndSubCaption;Языки управления
Caption;Финишер
Сортер;-
Степлер;-
Брошюровщик;-
Caption;Интерфейсы
USB;-
FireWire (IEEE 1394);-
Bluetooth;-
Инфракрасный порт;-
RS-232;-
Устройство для чтения карт памяти;-
Caption;Дополнительная информация
Работа от аккумулятора;-
SubCaption;Поддержка ОС
DOS;-
EndSubCaption;Поддержка ОС
Caption;Габариты
Ширина;110 мм
Высота;56 мм
Глубина;170 мм
Вес;0.418 кг
Caption;Фото
main_image;epson_image/EpsonLabelWorksLW-400_1580642917675.jpg
image;epson_image/EpsonLabelWorksLW-400_1580642917805.jpg
image;epson_image/EpsonLabelWorksLW-400_1580642917927.jpg
